Member_Id,ListAs,DisplayAs,FullTitle
727,"Buchanan-Smith, Alick",Alick Buchanan-Smith,Rt Hon Alick Buchanan-Smith
1111,"Buck, Antony",Sir Antony Buck,Sir Antony Buck
199,"Buck, Karen",Ms Karen Buck,Ms Karen Buck MP
4106,"Buckland, Robert",Mr Robert Buckland,Mr Robert Buckland MP
726,"Buckley, George",George Buckley,George Buckley
766,"Budgen, Nicholas",Nicholas Budgen,Nicholas Budgen
767,"Bulmer, Esmond",Esmond Bulmer,Esmond Bulmer
1099,"Burden, Frederick",Sir Frederick Burden,Sir Frederick Burden
301,"Burden, Richard",Richard Burden,Richard Burden MP
408,"Burgon, Colin",Colin Burgon,Colin Burgon
3937,"Burley, Aidan",Mr Aidan Burley,Mr Aidan Burley MP
238,"Burnett, L.",Lord Burnett,The Lord Burnett
1427,"Burnham, Andy",Andy Burnham,Rt Hon Andy Burnham MP
3922,"Burns, Conor",Conor Burns,Conor Burns MP
46,"Burns, Simon",Mr Simon Burns,Rt Hon Simon Burns MP
1449,"Burnside, David",David Burnside,David Burnside
1518,"Burrowes, David",Mr David Burrowes,Mr David Burrowes MP
204,"Burstow, Paul",Paul Burstow,Rt Hon Paul Burstow MP
1201,"Burt, Alistair",Alistair Burt,Rt Hon Alistair Burt MP
1567,"Burt, Lorely",Lorely Burt,Lorely Burt MP
1123,"Butcher, John",John Butcher,John Butcher
1093,"Butler, Adam",Sir Adam Butler,Rt Hon Sir Adam Butler
34,"Butler, Christine",Christine Butler,Christine Butler
1157,"Butler, Christopher",Christopher Butler,Christopher Butler
1489,"Butler, Dawn",Ms Dawn Butler,Ms Dawn Butler
1165,"Butler, Peter",Peter Butler,Peter Butler
241,"Butterfill, John",Sir John Butterfill,Sir John Butterfill
1620,"Buxton, Ronald",Ronald  Buxton,Ronald  Buxton
524,"Byers, Stephen",Mr Stephen Byers,Mr Stephen Byers
4112,"Byles, Dan",Dan Byles,Dan Byles MP
1171,"Byrne, Liam",Mr Liam Byrne,Rt Hon Liam Byrne MP
207,"Cable, Vince",Vince Cable,Rt Hon Vince Cable MP
396,"Caborn, Richard",Mr Richard Caborn,Mr Richard Caborn
768,"Cadbury, Jocelyn",Jocelyn Cadbury,Jocelyn Cadbury
4086,"Cairns, Alun",Alun Cairns,Alun Cairns MP
1421,"Cairns, David",David Cairns,David Cairns
770,"Callaghan, James",James Callaghan,James Callaghan
3326,"Callaghan of Cardiff, L.",Lord Callaghan of Cardiff,The Rt Hon. the Lord Callaghan of Cardiff KG
1403,"Calton, Patsy",Mrs Patsy Calton,Mrs Patsy Calton
1467,"Cameron, David",Mr David Cameron,Rt Hon David Cameron MP
529,"Campbell, Alan",Mr Alan Campbell,Rt Hon Alan Campbell MP
118,"Campbell, Anne",Mrs Anne Campbell,Mrs Anne Campbell
1409,"Campbell, Gregory",Mr Gregory Campbell,Mr Gregory Campbell MP
1009,"Campbell, Ian",Ian Campbell,Ian Campbell
627,"Campbell, Menzies",Sir Menzies Campbell,Rt Hon Sir Menzies Campbell QC MP
514,"Campbell, Ronnie",Mr Ronnie Campbell,Mr Ronnie Campbell MP
499,"Campbell-Savours, L.",Lord Campbell-Savours,The Lord Campbell-Savours
680,"Canavan, Dennis",Dennis Canavan,Dennis Canavan
135,"Cann, Jamie",Mr Jamie Cann,Mr Jamie Cann
772,"Cant, Robert",Robert Cant,Robert Cant
27,"Caplin, Ivor",Mr Ivor Caplin,Mr Ivor Caplin
1138,"Carlile of Berriew, L.",Lord Carlile of Berriew,The Lord Carlile of Berriew QC CBE
775,"Carlisle, John",John Carlisle,John Carlisle
773,"Carlisle, Kenneth",Sir Kenneth Carlisle,Sir Kenneth Carlisle
774,"Carlisle, Mark",Mark Carlisle,Rt Hon Mark Carlisle
1442,"Carmichael, Alistair",Mr Alistair Carmichael,Rt Hon Alistair Carmichael MP
1037,"Carmichael, Neil",Neil Carmichael,Neil Carmichael
4104,"Carmichael, Neil",Neil Carmichael,Neil Carmichael MP
1213,"Carr, Michael",Mr Michael Carr,Mr Michael Carr
716,"Carr, Mike",Mike Carr,Mike Carr
1622,"Carr, William",William  Carr,William  Carr
1621,"Carr of Hadley, L.",Lord Carr of Hadley,The Rt Hon. the Lord Carr of Hadley
1206,"Carrington of Fulham, L.",Lord Carrington of Fulham,The Lord Carrington of Fulham
882,"Carron, Owen",Owen Carron,Owen Carron
1623,"Carson, John",John  Carson,John  Carson
1527,"Carswell, Douglas",Mr Douglas Carswell,Mr Douglas Carswell MP
1624,"Carter, Raymond",Raymond  Carter,Raymond  Carter
776,"Carter-Jones, Lewis",Lewis Carter-Jones,Lewis Carter-Jones
777,"Carttiss, Michael",Michael Carttiss,Michael Carttiss
1020,"Cartwright, John",John Cartwright,John Cartwright
213,"Casale, Roger",Roger Casale,Roger Casale
288,"Cash, William",Sir William Cash,Sir William Cash MP
566,"Caton, Martin",Martin Caton,Martin Caton MP
369,"Cawsey, Ian",Mr Ian Cawsey,Mr Ian Cawsey
778,"Chalker of Wallasey, B.",Baroness Chalker of Wallasey,The Rt Hon. the Baroness Chalker of Wallasey
1434,"Challen, Colin",Colin Challen,Colin Challen
4267,"Champion, Sarah",Sarah Champion,Sarah Champion MP
779,"Channon, Paul",Paul Channon,Rt Hon Paul Channon
684,"Chaplin, Judith",Mrs Judith Chaplin,Mrs Judith Chaplin
492,"Chapman, Ben",Ben Chapman,Ben Chapman
3972,"Chapman, Jenny",Jenny Chapman,Jenny Chapman MP
153,"Chapman, Sydney",Sir Sydney Chapman,Sir Sydney Chapman
1626,"Chataway, Christopher",Christopher  Chataway,Rt Hon Christopher  Chataway
440,"Chaytor, David",Mr David Chaytor,Mr David Chaytor
1627,"Chichester-Clark, Robin",Sir Robin  Chichester-Clark,Sir Robin  Chichester-Clark
50,"Chidgey, L.",Lord Chidgey,The Lord Chidgey
598,"Chisholm, Malcolm",Mr Malcolm Chisholm,Mr Malcolm Chisholm
3987,"Chishti, Rehman",Rehman Chishti,Rehman Chishti MP
242,"Chope, Christopher",Mr Christopher Chope,Mr Christopher Chope MP
158,"Church, Judith",Ms Judith Church,Ms Judith Church
1081,"Churchill, Winston",Winston Churchill,Winston Churchill
388,"Clapham, Michael",Mr Michael Clapham,Mr Michael Clapham
67,"Clappison, James",Mr James Clappison,Mr James Clappison MP
673,"Clark, Alan",Alan Clark,Rt Hon Alan Clark
1578,"Clark, Greg",Greg Clark,Rt Hon Greg Clark MP
122,"Clark, Helen",Mrs Helen Clark,Mrs Helen Clark
1628,"Clark, Henry",Henry  Clark,Henry  Clark
1590,"Clark, Katy",Katy Clark,Katy Clark MP
41,"Clark, Michael",Dr Michael Clark,Dr Michael Clark
83,"Clark, Paul",Paul Clark,Paul Clark
1074,"Clark, William",Sir William Clark,Rt Hon Sir William Clark
599,"Clark of Calton, B.",Baroness Clark of Calton,The Baroness Clark of Calton QC
525,"Clark of Windermere, L.",Lord Clark of Windermere,The Rt Hon. the Lord Clark of Windermere
130,"Clarke, Charles",Mr Charles Clarke,Rt Hon Charles Clarke
624,"Clarke, Eric",Mr Eric Clarke,Mr Eric Clarke
366,"Clarke, Kenneth",Mr Kenneth Clarke,Rt Hon Kenneth Clarke QC MP
1629,"Clarke, Philip",Philip  Clarke,Philip  Clarke
583,"Clarke, Tom",Mr Tom Clarke,Rt Hon Tom Clarke MP
355,"Clarke, Tony",Mr Tony Clarke,Mr Tony Clarke
1139,"Clay, Bob",Bob Clay,Bob Clay
1563,"Clegg, Nick",Mr Nick Clegg,Rt Hon Nick Clegg MP
780,"Clegg, Walter",Sir Walter Clegg,Sir Walter Clegg
528,"Clelland, David",Mr David Clelland,Mr David Clelland
249,"Clifton-Brown, Geoffrey",Geoffrey Clifton-Brown,Geoffrey Clifton-Brown MP
1116,"Clinton-Davis, L.",Lord Clinton-Davis,The Rt Hon. the Lord Clinton-Davis
553,"Clwyd, Ann",Ann Clwyd,Rt Hon Ann Clwyd MP
360,"Coaker, Vernon",Vernon Coaker,Vernon Coaker MP
1630,"Cockcroft, John",John  Cockcroft,John  Cockcroft
781,"Cockeram, Eric",Eric Cockeram,Eric Cockeram
782,"Cocks, Michael",Michael Cocks,Rt Hon Michael Cocks
1631,"Coe, Denis",Denis  Coe,Denis  Coe
783,"Coe, L.",Lord Coe,The Lord Coe CH KBE
458,"Coffey, Ann",Ann Coffey,Ann Coffey MP
4098,"Coffey, Thérèse",Dr Thérèse Coffey,Dr Thérèse Coffey MP
192,"Cohen, Harry",Harry Cohen,Harry Cohen
1064,"Cohen, Stanley",Stanley Cohen,Stanley Cohen
723,"Coleman, Donald",Donald Coleman,Donald Coleman
174,"Coleman, Iain",Mr Iain Coleman,Mr Iain Coleman
3986,"Collins, Damian",Damian Collins,Damian Collins MP
498,"Collins, Tim",Mr Tim Collins,Mr Tim Collins
198,"Colman, Tony",Mr Tony Colman,Mr Tony Colman
1632,"Colquhoun, Maureen",Maureen  Colquhoun,Maureen  Colquhoun
4022,"Colvile, Oliver",Oliver Colvile,Oliver Colvile MP
675,"Colvin, Michael",Michael Colvin,Michael Colvin
784,"Concannon, Don",Don Concannon,Rt Hon Don Concannon
1215,"Congdon, David",Mr David Congdon,Mr David Congdon
785,"Conlan, Bernard",Bernard Conlan,Bernard Conlan
602,"Connarty, Michael",Michael Connarty,Michael Connarty MP
1202,"Conway, Derek",Derek Conway,Derek Conway
504,"Cook, Frank",Frank Cook,Frank Cook
623,"Cook, Robin",Mr Robin Cook,Rt Hon Robin Cook
786,"Coombs, Anthony",Anthony Coombs,Anthony Coombs
1633,"Coombs, Derek",Derek  Coombs,Derek  Coombs
1203,"Coombs, Simon",Mr Simon Coombs,Mr Simon Coombs
1538,"Cooper, Rosie",Rosie Cooper,Rosie Cooper MP
420,"Cooper, Yvette",Yvette Cooper,Rt Hon Yvette Cooper MP
787,"Cope of Berkeley, L.",Lord Cope of Berkeley,The Rt Hon. the Lord Cope of Berkeley
297,"Corbett of Castle Vale, L.",Lord Corbett of Castle Vale,The Lord Corbett of Castle Vale
185,"Corbyn, Jeremy",Jeremy Corbyn,Jeremy Corbyn MP
282,"Cormack, L.",Lord Cormack,The Lord Cormack
788,"Corrie, John",John Corrie,John Corrie
215,"Corston, B.",Baroness Corston,The Rt Hon. the Baroness Corston
789,"Costain, Albert",Sir Albert Costain,Sir Albert Costain
3786,"Cotter, L.",Lord Cotter,The Lord Cotter
790,"Couchman, James",James Couchman,James Couchman
